,endTime,artistName,trackName,msPlayed
2200,2020-07-02 01:52,Terrell Morris,Make You,230420
2201,2020-07-02 01:53,Terrell Morris,Dip Interlude,71272
2202,2020-07-02 01:56,Terrell Morris,Levvi,194823
2203,2020-07-02 02:00,Terrell Morris,Pretty Life,256300
2204,2020-07-02 02:04,Terrell Morris,Familiar Faces,193846
2205,2020-07-02 02:08,Terrell Morris,Free Problems,245760
2206,2020-07-02 02:10,Caye,Happy?,111457
2207,2020-07-02 02:14,Geoffroy,21 Days,257746
2208,2020-07-02 02:18,Valley,Sports Car,245373
2209,2020-07-02 02:22,SG Lewis,Chemicals,254871
2210,2020-07-02 02:26,ford.,Hold On,203504
2211,2020-07-02 02:28,Ehrling,Tonight,161500
2212,2020-07-02 02:32,OTR,Heart,195360
2213,2020-07-02 02:36,Super Duper,Quiver (feat. Lonas),233391
2214,2020-07-02 02:40,Louis The Child,Every Color (with Foster The People),234866
2215,2020-07-02 02:43,ford.,"Living, Breathing",188732
2216,2020-07-02 02:45,Big Wild,6's to 9's (feat. Rationale),45766
2217,2020-07-02 17:23,Geoffroy,21 Days,257746
